femur_tangage,femur_roulis,femur_lacet,tibia_tangage,tibia_roulis,tibia_lacet,femur_x,femur_y,femur_z,tibia_x,tibia_y,tibia_z
-62.866898,11.083837,21.510636,-62.866898,11.083837,21.510636,9.375000,-18.125000,-18.125000,8.125000,-19.375000,0.625000
-13.417291,-116.259220,64.640768,-13.417291,-116.259220,64.640768,8.125000,-19.375000,-18.125000,9.375000,-18.125000,0.625000
-83.300046,-79.134886,-98.046796,-83.300046,-79.134886,-98.046796,9.375000,-19.375000,-18.125000,9.375000,-18.125000,1.875000
73.928274,-163.815323,98.732207,73.928274,-163.815323,98.732207,9.375000,-19.375000,-19.375000,8.125000,-19.375000,1.875000
-82.201330,6.157896,-70.419922,-82.201330,6.157896,-70.419922,8.125000,-18.125000,-19.375000,9.375000,-19.375000,1.875000
61.180207,14.251839,-110.209994,61.180207,14.251839,-110.209994,8.125000,-18.125000,-18.125000,9.375000,-19.375000,0.625000
-77.473709,-145.758779,-19.667206,-77.473709,-145.758779,-19.667206,10.625000,-19.375000,-18.125000,8.125000,-18.125000,0.625000
-73.604551,-168.238437,109.120030,-73.604551,-168.238437,109.120030,10.625000,-19.375000,-19.375000,8.125000,-18.125000,1.875000
46.384573,47.701715,71.988750,46.384573,47.701715,71.988750,11.875000,-18.125000,-19.375000,10.625000,-19.375000,1.875000
-77.448950,-91.626180,-76.574088,-77.448950,-91.626180,-76.574088,11.875000,-19.375000,-19.375000,10.625000,-19.375000,0.625000
-72.569037,127.781373,56.116164,-72.569037,127.781373,56.116164,11.875000,-19.375000,-18.125000,11.875000,-18.125000,0.625000
3.788717,-109.417497,141.357742,3.788717,-109.417497,141.357742,11.875000,-18.125000,-18.125000,11.875000,-19.375000,0.625000
58.993788,-8.696542,118.572793,58.993788,-8.696542,118.572793,10.625000,-18.125000,-18.125000,11.875000,-19.375000,1.875000
6.851776,-126.251983,-11.520140,6.851776,-126.251983,-11.520140,10.625000,-18.125000,-19.375000,11.875000,-18.125000,1.875000
-10.059185,-98.460984,-6.902636,-10.059185,-98.460984,-6.902636,13.125000,-19.375000,-19.375000,10.625000,-18.125000,1.875000
-83.484844,-58.350493,1.912376,-83.484844,-58.350493,1.912376,13.125000,-19.375000,-18.125000,10.625000,-18.125000,0.625000
-75.571915,60.601548,-119.847130,-75.571915,60.601548,-119.847130,14.375000,-18.125000,-18.125000,13.125000,-19.375000,0.625000
-30.731955,36.786133,136.680991,-30.731955,36.786133,136.680991,14.375000,-19.375000,-18.125000,13.125000,-19.375000,1.875000
-48.025133,101.630733,-104.926852,-48.025133,101.630733,-104.926852,14.375000,-19.375000,-19.375000,14.375000,-18.125000,1.875000
-58.443138,63.154023,3.626348,-58.443138,63.154023,3.626348,14.375000,-18.125000,-19.375000,14.375000,-19.375000,1.875000
-60.402376,170.822637,-158.094996,-60.402376,170.822637,-158.094996,13.125000,-18.125000,-19.375000,14.375000,-19.375000,0.625000
36.606029,139.672400,-66.385257,36.606029,139.672400,-66.385257,13.125000,-18.125000,-18.125000,14.375000,-18.125000,0.625000
